"site","cid","burn","east","north","ucid","dist","het3","het6","het8","tpi","slope","elev","max.ht","avg.ht","n","shrubs_n","gt25_n"
"Cold",321,1,638141.90058166,4772220.3860298,101321,18.027756376093,4.18647003173828,0.116334453225136,0.00107039220165461,0.0354881919920444,2.53858089447021,1121.23840332031,0.429443359375,0.0768619701266289,0,2,0
"Cold",411,1,638151.900581661,4772200.3860298,101411,26.9258240366669,51.2420768737793,0.399442106485367,0.00242703058756888,-0.0386559031903744,3.80477738380432,1122.51501464844,0.5845947265625,0.0767092630267143,0,12,0
"Cold",261,1,638171.900581659,4772235.3860298,101261,33.5410196622365,10.271279335022,0.119858674705029,0.00110050314106047,0.0137573750689626,3.3476574420929,1120.87426757812,0.4134521484375,0.0868258625268936,4,18,4
"Cold",429,1,638131.90058166,4772195.3860298,101429,15.8113883018359,9.27989482879639,0.20627199113369,0.00174648873507977,-0.0397210493683815,3.01659059524536,1122.79174804688,0.3555908203125,0.106752656400204,2,2,2
"Cold",498,1,638146.900581659,4772180.3860298,101498,24.9999999990687,50.0761489868164,0.65799605846405,0.00370022864080966,-0.0181838683784008,2.69301176071167,1119.83764648438,0.6514892578125,0.132482096552849,1,6,1
"Cold",584,1,638136.90058166,4772160.3860298,101584,22.3606797758309,73.912467956543,0.511928915977478,0.00344636733643711,0.0311467032879591,3.54546856880188,1122.90344238281,0.937744140625,0.212249502539635,1,17,1
"Cold",539,1,638131.900581659,4772170.3860298,101539,14.142135621426,105.840950012207,0.692441761493683,0.00434240279719234,-0.0411435998976231,3.0528826713562,1117.92065429688,0.78076171875,0.144336700439453,1,17,1
"Cold",396,1,638186.900581659,4772205.3860298,101396,60.2079728928013,139.59114074707,0.769792795181274,0.00437026470899582,-0.00103360088542104,2.80578112602234,1117.7568359375,0.8052978515625,0.147379174828529,2,2,2
"Cold",325,1,638166.90058166,4772220.3860298,101325,40.3112887423158,82.7826385498047,1.13525307178497,0.0073543949984014,-0.00734735419973731,3.32757949829102,1119.65686035156,0.968994140625,0.154618591070175,0,5,0
"Cold",523,1,638161.900581659,4772175.3860298,101523,40.3112887406841,5.07575798034668,0.197659268975258,0.00165532773826271,-0.00848493818193674,3.21801781654358,1120.03759765625,0.3321533203125,0.0660987496376038,1,10,1
