"cid","site","nARTR","nNonARTR","nARTRgt25","nNonARTRgt25","nShrubs","val","ucid"
1,"Cold",2,5,2,3,7,0,"Cold_1"
2,"Cold",0,2,0,0,2,1,"Cold_2"
3,"Cold",0,1,0,0,1,0,"Cold_3"
4,"Cold",0,7,0,0,7,0,"Cold_4"
5,"Cold",1,1,1,0,2,0,"Cold_5"
6,"Cold",0,0,0,0,0,0,"Cold_6"
7,"Cold",0,7,0,3,7,0,"Cold_7"
8,"Cold",0,12,0,2,12,1,"Cold_8"
9,"Cold",1,7,1,3,8,0,"Cold_9"
10,"Cold",3,0,3,0,3,0,"Cold_10"
11,"Cold",4,14,4,3,18,1,"Cold_11"
12,"Cold",1,8,1,0,9,0,"Cold_12"
13,"Cold",0,4,0,0,4,0,"Cold_13"
14,"Cold",1,0,1,0,1,0,"Cold_14"
15,"Cold",2,0,2,0,2,1,"Cold_15"
16,"Cold",1,1,1,0,2,0,"Cold_16"
17,"Cold",0,0,0,0,0,0,"Cold_17"
18,"Cold",1,0,1,0,1,0,"Cold_18"
19,"Cold",0,1,0,0,1,0,"Cold_19"
20,"Cold",0,0,0,0,0,0,"Cold_20"
21,"Cold",0,0,0,0,0,0,"Cold_21"
22,"Cold",0,0,0,0,0,0,"Cold_22"
23,"Cold",0,2,0,1,2,0,"Cold_23"
24,"Cold",3,4,3,1,7,0,"Cold_24"
25,"Cold",1,4,1,1,5,0,"Cold_25"
26,"Cold",1,5,1,0,6,1,"Cold_26"
27,"Cold",1,4,1,2,5,0,"Cold_27"
28,"Cold",0,0,0,0,0,0,"Cold_28"
29,"Cold",1,4,0,0,5,0,"Cold_29"
30,"Cold",2,6,2,2,8,0,"Cold_30"
31,"Cold",0,0,0,0,0,0,"Cold_31"
32,"Cold",0,2,0,0,2,0,"Cold_32"
33,"Cold",0,7,0,3,7,0,"Cold_33"
34,"Cold",1,8,1,3,9,0,"Cold_34"
35,"Cold",1,16,1,3,17,1,"Cold_35"
36,"Cold",1,7,1,3,8,0,"Cold_36"
37,"Cold",1,2,1,0,3,0,"Cold_37"
38,"Cold",0,0,0,0,0,0,"Cold_38"
39,"Cold",0,0,0,0,0,0,"Cold_39"
40,"Cold",2,11,2,3,13,0,"Cold_40"
41,"Cold",1,16,1,1,17,1,"Cold_41"
42,"Cold",0,4,0,1,4,0,"Cold_42"
43,"Cold",0,2,0,1,2,0,"Cold_43"
44,"Cold",2,0,2,0,2,1,"Cold_44"
45,"Cold",0,0,0,0,0,0,"Cold_45"
46,"Cold",0,0,0,0,0,0,"Cold_46"
47,"Cold",1,2,1,1,3,0,"Cold_47"
48,"Cold",0,7,0,1,7,0,"Cold_48"
49,"Cold",0,5,0,1,5,0,"Cold_49"
50,"Cold",0,0,0,0,0,0,"Cold_50"
51,"Cold",0,0,0,0,0,0,"Cold_51"
52,"Cold",0,0,0,0,0,0,"Cold_52"
53,"Cold",0,0,0,0,0,0,"Cold_53"
54,"Cold",0,3,0,1,3,0,"Cold_54"
55,"Cold",0,12,0,0,12,0,"Cold_55"
56,"Cold",0,5,0,1,5,0,"Cold_56"
57,"Cold",1,18,1,3,19,0,"Cold_57"
58,"Cold",2,1,2,1,3,0,"Cold_58"
59,"Cold",2,0,2,0,2,0,"Cold_59"
60,"Cold",1,0,1,0,1,0,"Cold_60"
61,"Cold",0,2,0,0,2,0,"Cold_61"
62,"Cold",0,14,0,1,14,0,"Cold_62"
63,"Cold",0,16,0,4,16,0,"Cold_63"
64,"Cold",0,5,0,0,5,0,"Cold_64"
65,"Cold",0,3,0,1,3,0,"Cold_65"
66,"Cold",1,0,1,0,1,0,"Cold_66"
67,"Cold",0,5,0,1,5,1,"Cold_67"
68,"Cold",0,2,0,0,2,0,"Cold_68"
69,"Cold",0,0,0,0,0,0,"Cold_69"
70,"Cold",0,0,0,0,0,0,"Cold_70"
71,"Cold",0,0,0,0,0,0,"Cold_71"
72,"Cold",0,0,0,0,0,0,"Cold_72"
73,"Cold",0,0,0,0,0,0,"Cold_73"
74,"Cold",1,9,1,1,10,1,"Cold_74"
75,"Cold",0,0,0,0,0,0,"Cold_75"
76,"Cold",0,2,0,0,2,0,"Cold_76"
77,"Cold",3,15,3,0,18,1,"Cold_77"
78,"Cold",2,12,2,0,14,0,"Cold_78"
79,"Cold",0,0,0,0,0,0,"Cold_79"
80,"Cold",6,0,6,0,6,0,"Cold_80"
