"uid","site","chm_max","area","plant_type_preds","prob_ARTR","ID","Class","Species","Ht_gt_25","notes","elev","TP","FP","FN","CID"
"LowerDryCreek_6249","LowerDryCreek",0.151611328125,0.100657651677466,"ARTR",0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_6345","LowerDryCreek",0.1224365234375,0.0671859506001056,"ARTR",0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_6621","LowerDryCreek",0.1343994140625,0.0303185698357993,"ARTR",0.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_6647","LowerDryCreek",0.1961669921875,0.0817388641171419,"ARTR",0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_6880","LowerDryCreek",0.3988037109375,0.359214414820599,"ARTR",0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_7038","LowerDryCreek",0.1217041015625,0.0320164096956432,"ARTR",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
"LowerDryCreek_7135","LowerDryCreek",0.1605224609375,0.0504501001742028,"ARTR",0.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
"LowerDryCreek_7221","LowerDryCreek",0.1888427734375,0.16323517967794,"ARTR",0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_7525","LowerDryCreek",0.2252197265625,0.0878025780348253,"ARTR",0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_7631","LowerDryCreek",0.101318359375,0.0235272101053852,"ARTR",0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_7647","LowerDryCreek",0.103271484375,0.0235272101090231,"ARTR",0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_7808","LowerDryCreek",0.111572265625,0.0293483755340276,"ARTR",0.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_7849","LowerDryCreek",0.2115478515625,0.101627845870098,"ARTR",0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_7927","LowerDryCreek",0.1343994140625,0.0356546379625797,"ARTR",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_7958","LowerDryCreek",0.1162109375,0.0300760211684974,"ARTR",0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_8048","LowerDryCreek",0.123291015625,0.0334717011210159,"ARTR",0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_8395","LowerDryCreek",0.208251953125,0.0890153208820266,"ARTR",0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_8454","LowerDryCreek",0.122314453125,0.0320164097047382,"ARTR",0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_8544","LowerDryCreek",0.2230224609375,0.112542531071085,"ARTR",0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_8636","LowerDryCreek",0.114501953125,0.0162507534005272,"ARTR",0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_8713","LowerDryCreek",0.205322265625,0.0654881108239351,"ARTR",0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,165
"LowerDryCreek_8800","LowerDryCreek",0.2413330078125,0.101142748822895,"ARTR",0.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,205
"LowerDryCreek_8819","LowerDryCreek",0.167724609375,0.0633051736458583,"ARTR",0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,205
"LowerDryCreek_6197","LowerDryCreek",0.1234130859375,0.0516628429177217,"ARTR",0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
"LowerDryCreek_6271","LowerDryCreek",0.217041015625,0.105993719880644,"ARTR",0.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
"LowerDryCreek_6338","LowerDryCreek",0.200927734375,0.0904706122328207,"ARTR",0.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
"LowerDryCreek_6363","LowerDryCreek",0.142578125,0.0443863860182319,"ARTR",0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
"LowerDryCreek_6376","LowerDryCreek",0.2825927734375,0.181668870201975,"ARTR",0.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
"LowerDryCreek_6390","LowerDryCreek",0.259765625,0.0999300059847883,"ARTR",0.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
"LowerDryCreek_6484","LowerDryCreek",0.231201171875,0.109389399724023,"ARTR",0.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
"LowerDryCreek_6556","LowerDryCreek",0.1600341796875,0.0504501001196331,"ARTR",0.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
