"uid","site","chm_max","area","plant_type_preds","prob_ARTR","ID","Class","Species","Ht_gt_25","notes","elev","TP","FP","FN","CID"
"PonyComplex2_6979","PonyComplex2",0.10888671875,0.0333882714367064,"ARTR",0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PonyComplex2_7336","PonyComplex2",0.1180419921875,0.0588597361402208,"ARTR",0.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PonyComplex2_7454","PonyComplex2",0.4495849609375,0.386890897667399,"ARTR",0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PonyComplex2_7558","PonyComplex2",0.111572265625,0.0347651073589077,"ARTR",0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PonyComplex2_7659","PonyComplex2",0.1217041015625,0.0416492869480862,"ARTR",0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PonyComplex2_7121","PonyComplex2",0.1077880859375,0.0333882713948697,"ARTR",0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"PonyComplex2_7798","PonyComplex2",0.2958984375,0.168662401823894,"ARTR",0.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"PonyComplex2_6914","PonyComplex2",0.1248779296875,0.0444029589125421,"ARTR",0.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PonyComplex2_6935","PonyComplex2",0.1318359375,0.0499103026213561,"ARTR",0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"PonyComplex2_7005","PonyComplex2",0.2210693359375,0.124603652029691,"ARTR",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"PonyComplex2_7072","PonyComplex2",0.1873779296875,0.0839869920382625,"ARTR",0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"PonyComplex2_7082","PonyComplex2",0.164794921875,0.0543850193480466,"ARTR",0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"PonyComplex2_7089","PonyComplex2",0.1282958984375,0.045435585825544,"ARTR",0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"PonyComplex2_7167","PonyComplex2",0.22900390625,0.111867919651559,"ARTR",0.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"PonyComplex2_6897","PonyComplex2",0.1153564453125,0.0567944822269055,"ARTR",0.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PonyComplex2_6898","PonyComplex2",0.16162109375,0.0623018259830133,"ARTR",0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PonyComplex2_6992","PonyComplex2",0.14111328125,0.0609249901808653,"ARTR",0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"PonyComplex2_7012","PonyComplex2",0.14404296875,0.0609249900153372,"ARTR",0.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
