"uid","site","chm_max","area","plant_type_preds","prob_ARTR","ID","Class","Species","Ht_gt_25","notes","elev","TP","FP","FN","CID"
"SodaNaturalArea2_5874","SodaNaturalArea2",0.3385009765625,0.319236010802342,"ARTR",0.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SodaNaturalArea2_5936","SodaNaturalArea2",0.228515625,0.269138263587593,"ARTR",0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SodaNaturalArea2_6075","SodaNaturalArea2",0.1514892578125,0.0588739949962473,"ARTR",0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SodaNaturalArea2_6086","SodaNaturalArea2",0.2977294921875,0.198562604755352,"ARTR",0.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SodaNaturalArea2_6334","SodaNaturalArea2",0.3160400390625,0.267675555578535,"ARTR",0.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SodaNaturalArea2_6483","SodaNaturalArea2",0.1285400390625,0.0694786278290849,"ARTR",0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SodaNaturalArea2_6607","SodaNaturalArea2",0.1038818359375,0.0369333757371351,"ARTR",0.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SodaNaturalArea2_6642","SodaNaturalArea2",0.25390625,0.181010109334238,"ARTR",0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"SodaNaturalArea2_6178","SodaNaturalArea2",0.1910400390625,0.0848370612766303,"ARTR",0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SodaNaturalArea2_6256","SodaNaturalArea2",0.1038818359375,0.032545252062846,"ARTR",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SodaNaturalArea2_6409","SodaNaturalArea2",0.115966796875,0.0369333758990251,"ARTR",0.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SodaNaturalArea2_6517","SodaNaturalArea2",0.189208984375,0.101292525694589,"ARTR",0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SodaNaturalArea2_6609","SodaNaturalArea2",0.1046142578125,0.032545251879128,"ARTR",0.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SodaNaturalArea2_6618","SodaNaturalArea2",0.1202392578125,0.0398587916224642,"ARTR",0.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SodaNaturalArea2_5957","SodaNaturalArea2",0.237060546875,0.130181007887586,"ARTR",0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SodaNaturalArea2_6090","SodaNaturalArea2",0.1361083984375,0.0515604554439051,"ARTR",0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SodaNaturalArea2_6209","SodaNaturalArea2",0.141357421875,0.0544858713310532,"ARTR",0.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SodaNaturalArea2_6340","SodaNaturalArea2",0.11181640625,0.0321795748805016,"ARTR",0.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SodaNaturalArea2_6373","SodaNaturalArea2",0.1175537109375,0.0398587917570694,"ARTR",0.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SodaNaturalArea2_6446","SodaNaturalArea2",0.1209716796875,0.0413214997988689,"ARTR",0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SodaNaturalArea2_6610","SodaNaturalArea2",0.1622314453125,0.0720383665720874,"ARTR",0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SodaNaturalArea2_6630","SodaNaturalArea2",0.11962890625,0.0398587918443809,"ARTR",0.3,NA,NA,NA,NA,NA,NA,0,1,0,30
"SodaNaturalArea2_6066","SodaNaturalArea2",0.14111328125,0.0530231632783398,"ARTR",0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"SodaNaturalArea2_6254","SodaNaturalArea2",0.108642578125,0.0354706679299852,"ARTR",0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"SodaNaturalArea2_6328","SodaNaturalArea2",0.13134765625,0.050097747496693,"ARTR",0.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"SodaNaturalArea2_6468","SodaNaturalArea2",0.103515625,0.0325452518736711,"ARTR",0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"SodaNaturalArea2_6070","SodaNaturalArea2",0.10595703125,0.030351189961948,"ARTR",0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"SodaNaturalArea2_6201","SodaNaturalArea2",0.1298828125,0.0500977473711828,"ARTR",0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"SodaNaturalArea2_6226","SodaNaturalArea2",0.119873046875,0.0398587918371049,"ARTR",0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
