"uid","site","chm_max","area","plant_type_preds","prob_ARTR","ID","Class","Species","Ht_gt_25","notes","elev","TP","FP","FN","CID"
"SouthTrail_5356","SouthTrail",1.624755859375,1.87941953592235,"ARTR",0.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SouthTrail_5405","SouthTrail",0.577880859375,0.241889993583754,"ARTR",0.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SouthTrail_5429","SouthTrail",1.15948486328125,1.0977362193953,"ARTR",0.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SouthTrail_5501","SouthTrail",0.92962646484375,0.577344163379166,"ARTR",0.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_5731","SouthTrail",0.25750732421875,0.0416188475683157,"ARTR",0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_5740","SouthTrail",0.2501220703125,0.103890656939257,"ARTR",0.504,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_5750","SouthTrail",0.86688232421875,0.407426612729978,"ARTR",0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_5756","SouthTrail",1.30596923828125,1.23886479257271,"ARTR",0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_5826","SouthTrail",0.64654541015625,0.622092247343971,"ARTR",0.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_5846","SouthTrail",0.5604248046875,0.531031459979204,"ARTR",0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_5919","SouthTrail",0.33734130859375,0.109836206682303,"ARTR",0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_5950","SouthTrail",0.9814453125,1.19787179267951,"ARTR",0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_5978","SouthTrail",0.28094482421875,0.14863874112234,"ARTR",0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_5996","SouthTrail",0.734619140625,0.555439506846596,"ARTR",0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_6034","SouthTrail",0.106689453125,0.0278502062774351,"ARTR",0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_6068","SouthTrail",1.21270751953125,1.52206071014916,"ARTR",0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_6142","SouthTrail",0.63519287109375,0.383644414632727,"ARTR",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"SouthTrail_5380","SouthTrail",1.356201171875,1.75080790947322,"ARTR",0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SouthTrail_5417","SouthTrail",1.29833984375,0.962553195762666,"ARTR",0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SouthTrail_5520","SouthTrail",0.88818359375,1.08960020452832,"ARTR",0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SouthTrail_5521","SouthTrail",1.2852783203125,1.38781645719246,"ARTR",0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SouthTrail_5551","SouthTrail",1.2703857421875,1.14154553219305,"ARTR",0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SouthTrail_5618","SouthTrail",1.58807373046875,1.77052210014517,"ARTR",0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SouthTrail_5713","SouthTrail",1.3399658203125,0.891832446768603,"ARTR",0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SouthTrail_5732","SouthTrail",1.49822998046875,1.86471212483229,"ARTR",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SouthTrail_5834","SouthTrail",1.36346435546875,1.90069834550741,"ARTR",0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SouthTrail_5886","SouthTrail",1.29766845703125,1.04328750089007,"ARTR",0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SouthTrail_5893","SouthTrail",1.12200927734375,0.265985115904186,"ARTR",0.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SouthTrail_6062","SouthTrail",0.18310546875,0.0237821986229392,"ARTR",0.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SouthTrail_6068","SouthTrail",1.21270751953125,1.52206071014916,"ARTR",0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"SouthTrail_6077","SouthTrail",0.10528564453125,0.0503807102541032,"ARTR",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SouthTrail_6096","SouthTrail",1.568115234375,2.14446588227656,"ARTR",0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SouthTrail_6155","SouthTrail",1.28363037109375,1.59747531380344,"ARTR",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"SouthTrail_5417","SouthTrail",1.29833984375,0.962553195762666,"ARTR",0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SouthTrail_5427","SouthTrail",1.51287841796875,2.72149712090686,"ARTR",0.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SouthTrail_5521","SouthTrail",1.2852783203125,1.38781645719246,"ARTR",0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SouthTrail_5651","SouthTrail",1.5894775390625,2.35068257522653,"ARTR",0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SouthTrail_5770","SouthTrail",1.34161376953125,0.982893233016512,"ARTR",0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SouthTrail_5893","SouthTrail",1.12200927734375,0.265985115904186,"ARTR",0.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"SouthTrail_5920","SouthTrail",1.3656005859375,1.91321529173911,"ARTR",0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SouthTrail_5981","SouthTrail",1.0294189453125,0.716595194342517,"ARTR",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SouthTrail_6038","SouthTrail",1.3057861328125,0.624282713664797,"ARTR",0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SouthTrail_6088","SouthTrail",0.80615234375,0.742567858311304,"ARTR",0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SouthTrail_6096","SouthTrail",1.568115234375,2.14446588227656,"ARTR",0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SouthTrail_6124","SouthTrail",0.5499267578125,0.290080237851726,"ARTR",0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"SouthTrail_5682","SouthTrail",0.23297119140625,0.119223916704868,"ARTR",0.466,NA,NA,NA,NA,NA,NA,0,1,0,4
"SouthTrail_5688","SouthTrail",0.6451416015625,0.175237252828083,"ARTR",0.85,NA,NA,NA,NA,NA,NA,0,1,0,4
"SouthTrail_5764","SouthTrail",0.4561767578125,0.255971558577585,"ARTR",0.988,NA,NA,NA,NA,NA,NA,0,1,0,4
"SouthTrail_5820","SouthTrail",0.7220458984375,0.152080901441877,"ARTR",0.92,NA,NA,NA,NA,NA,NA,0,1,0,4
"SouthTrail_6124","SouthTrail",0.5499267578125,0.290080237851726,"ARTR",0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"SouthTrail_6147","SouthTrail",0.728271484375,0.540419170469249,"ARTR",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"SouthTrail_5440","SouthTrail",0.4268798828125,0.148325817519435,"ARTR",0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SouthTrail_5441","SouthTrail",0.5147705078125,0.26535926872748,"ARTR",0.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
