"site","elev","slope","east","north","date","jdate","wind_max","wind_avg","gps_err","gcp_err","X3D_err","v_acc","severity","pareasegartr","densegartr","pareaseg","denseg","avght"
"Cold",1121.148124,3.219933835,638134.4006,4772225.386,"6/10/22",160,5.2,2,9.34,0.009,0.039,0.021,"low",0.0198379632243929,0.0639057239038643,0.239555471816249,1.42868686864529,0.116666305277133
"CorralsTrail",1030.869626,14.00393281,566369.7141,4835550.87,"5/20/22",139,4.4,1.7,7.685,1.101,0.037,1.721,"low",0.0141573275745152,0.0118857142856181,0.114483393976752,0.11262857142766,0.111753147929776
"InitialPointBurn",842.5744215,2.221611996,542138.6256,4803964.087,"6/3/22",153,4.3,1,8.884,0.624,0.018,1.047,"low",0.159186735872537,0.5464285714108,0.161767170726559,0.598095238075787,0.13628132512225
"LowerDryCreek",1115.330816,23.35782219,566856.8185,4837640.563,"6/29/22",179,5.6,2.2,38.901,0.923,0.253,1.862,"moderate",0.254887435003107,1.48446078433107,0.299469009775694,1.89401960786527,0.17089547422331
"NorthHam",917.8640675,1.65970693,626607.8918,4760232.618,"5/24/22",143,7.9,3.7,8.249,0.746,0.027,1.078,"moderate",0.155049806972519,0.138603174599896,0.198376092613454,0.504380952369022,0.118977658056916
"PonyComplex1",1072.42001,1.862437167,605306.5503,4788960.166,"6/15/22",165,3.4,1.1,9.841,0.039,0.025,0.05,"low",0.0464979503535332,0.246975999995289,0.0618858551816508,0.43308799999174,0.0428050132267177
"PonyComplex2",1498.305926,1.640132577,618614.8049,4790721.483,"6/15/22",165,5,1.2,14.994,0.028,0.037,0.021,"low",0.0220561012869688,0.197346938771309,0.0930116936125125,0.743673469371924,0.0478440640418201
"SodaNaturalArea1",1308.529236,1.341363682,500841.7744,4794222.179,"6/30/22",180,6.2,2.6,17.867,0.055,0.052,0.088,"low",0.0323177842428457,0.137825311943618,0.0370666208858504,0.181604278075735,0.019257098013818
"SodaNaturalArea2",1312.960956,4.173999228,496551.0465,4788750.345,"6/30/22",180,5.5,2.3,7.542,0.016,0.024,0.036,"low",0.0377310882336318,0.459191919185008,0.0816007979194653,0.716498316487532,0.052445260121139
"SouthTrail",1024.980117,2.068359256,636575.2167,4765830.547,"5/25/22",144,2.7,0.8,7.183,1.047,0.027,1.337,"low",0.222507787586413,0.764166666658637,0.224810644996196,0.775576923068774,0.130058663662893
